"Year","Topic","Notes","Exact Date","Citation","Tags"
"1908","Dean James Barr Ames of Harvard Law gave ""a long run of the Reports of the English Courts""","","","Clemons 79",""
"1910","French Government, through Ambassador Jusserand, gave works on art, history and literature of France","","","Clemons 79",""
"1911","Judge Lambert Tree of Chicago gave his law books","","","Clemons 79",""
"1912","William David Booker of Baltimore gave books and journals on Pediatrics","","","Clemons 79",""
"1913","Professor Harrison gave books on Southern authors","","","Clemons 79",""
"1913","donation of books from Bennett Wood Green","","","Clemons 79",""
"1913","private collection donated by Wilbur Phelps Morgan, physician of Baltimore, ""bookman of catholic tastes""","continued until his death in 1922, reached well over 10,000 volumes","","Clemons 79",""
"1915","books of Andrew Stevenson, donated by his granddaughter (he had been member of BoV 1845-57, Rector 1856-57)","","","Clemons 79-80",""
"1920","working library of William Harry Heck, prof. of Education donated","","","Clemons 80",""
"1920","establishment in Peabody Hall of the Heck Memorial Library in Education","","","80",""
"1903-11","Anna Tuttle Heck, Asst. Librarian","","","Clemons 80",""
"1921","John Bassett Moore announces his intended gift of law books","continued until 1947 to receive books","","Clemons 80",""
"1922","8,000 vols. given from the private library of William Gordon McCabe, educator and writer","WGM was on BoV from 1887 to 1896; he knew Matthew Arnold, Browning, and Tennyson","","Clemons 80",""
"1922","Judge George Moffett Harrison of Staunton, Va. gave 600 vols","","","Clemons 80",""
"1923","Judge Legh Richmond Watts of Portsmouth, Va. gave 1,400 vols.","","","Clemons 80",""
"1924","Charles Baskerville gave over 1,000 books to Chemistry Lib.","","","Clemons 80",""
"1913","Bible presented by George Wythe to Jefferson given along with NT clipped versions, other Jefferson items too","","","Clemons 81",""
"1895-1925","manuscript items added, mostly Jefferson letters","","","Clemons 81",""
"1921","John H. Ingram collection of Poe acquired by the efforts of Dr. James Southall Wilson","","","Clemons 82",""
"1913","large library donation from Bennett Wood Green's estate","","","Clemons 83",""
"1909","William Whitehead Fuller Fund for the Law Library established","","","Clemons 83",""
"1911","William Barton Rogers Fund for the Physics Library","","","Clemons 83",""
"1911","Lambert Tree Fund for the General Library","","","Clemons 83",""
"1919","Ferrell Dabney Minor, Jr., Memorial Fund for the Law Library","","","Clemons 83",""
"1919","Isabel Mercein Tunstall Fund for books of poetry for the General Library","","","Clemons 83",""
"1920","James Douglas Bruce Fund for English Literature","chiefly used to buy books for graduate library","","Clemons 83",""
"1922","Walter H. Jones Fund for journals for the Engineering Library","","","Clemons 83",""
"1922","Coolidge Fund, est. for Law Library in memory of TJ by the Collidge Family of Boston","","","Clemons 83",""
"1923","Hamilton M. Barksdale Funds for the Chemistry and Engineering Libraries","","","Clemons 83",""
"1907","Robert BAylor Tunstall, Sr., gave money to establish Isabel Mercein Tunstall Collection of Poetry","","","Clemons 83",""
"1912","Arthur Curtiss James gave money for books ""on the Negro""","","","Clemons 83",""
"1919","Paul Goodloe McIntire gave money for books and equipment for Fine Arts","","","Clemons 83",""
"1922","Alfred William Erickson gave money for Education Library","","","Clemons 83-4",""
"1923","anonymous donated money for the General Library","","","Clemons 84",""
"1923","members of Minor Inn of Phi Delta Phi gave money for the purchase of law books in memory of Raleigh Colston Minor","","","Clemons 84",""
"1925","131,422 books reported in the libraries","","June 1925","Clemons 84",""
"1925","thirteen special libraries around Grounds","all sort of independent, subjects, Graduate LIbrary, etc. etc.","","Clemons 84",""
"1917","Chemistry library destroyed by burning of the Chemical Laboratory","","","Clemons 85",""
"1918","new Chemistry Library located in Cobb Chemical Laboratory","","","Clemons 85",""
"1911","Law Library moved to Minor Hall","student librarians that had been elected were made full-time","","Clemons 86",""
"1911","Ella Watson Johnson first appointeed student Law Librarian","","","Clemons 86",""
"1912-45","Catherine Rebecca Lipop appointed Law Librarian","continued until retirement in 1945","","Clemons 86",""
"1925","Law Library had 20,000 vols., largest of separate collections","","","Clemons 86",""
"1917","Librarian Patton reports the Rotunda is inadequate for whole library","","","Clemons 87",""
"1923","John Calvin Metcalf, appointed Chairman af Faculty Library Committee in 1918, appointed Dean of Department of Graduate Studies","case for library as research center reinforced; new concept involved more than just the building, but the building was essential","","",""
"1824","community banquet to Lafayette in Rotunda","","","Clemons 87",""
"1924","Centennial banquet held in Rotunda against objects, compromise was to buy three bookshelves, but established a working relationship","","","Clemons 88",""
"1924","Faculty Library Committee decided piecemeal approach was done and to aim for a new building","","January 1924","Clemons 88",""
"1825","John Vaughan Kean was librarian","recommended by Father, Dr. Andrew Kean to Jefferson","","Clemons 91",""
"1826-1831, 1835-1857, 1865-1881, emeritus 1881-2","William Wertenbaker librarian","holds the record for length of service, worked as a Clerk, later served with a bunch of Rectors and notables from UVa; probably identified by Jefferson, as there's no record of his application to Jefferson: ""Wertenbaker began to take on other income producing occupations, until he had, at one time or another, filled nearly all the positions available at the University except a Professor's chair."" (95): Assistant Proctor, University Postmaster, Bookstore Manager, Secretary of the Faculty, University Hotel Keeper, Secretary of the Board of Visitors; a student was expelled in 1831 for repeated threats to flog Wertenbaker; faculty selected and he purchased","","Clemons 92",""
"1868","Abiel Abbot Low, New York, surprise donates $500","suggested ""such standard works, of permanent value, on History & Biography, Geography & Travels, Religion and General Literature as may be of common interest to all the Professors and especially useful to the students of the University""","November 1868","Clemons 98",""
"1831-35","William Henry Brockenbrough librarian","one definate failure of the first 100 years; appointment made in July to take place in August; lack of success was not lack of ability","","Clemons 101",""
"1857-61","Thomas Beverley Holcombe librarian","","","Clemons 105",""
"1881","size of library, 36,000 books","","","Clemons 97-8",""
"1830","8,000 books","","","Clemons 98",""
"1824","Valentine Wood Southall presided over banquet in Rotunda for Lafayette","","","Clemons 94",""
"1825","books in pavilion on West Lawn, open for students only one hour a week","","","Clemons 91",""
